type;src;title;date;description;
img;photos/HeavyRain.jpg;Heavy Rain;27 ottobre 2018;Giorni di pioggia pesante quelli, passati alla storia per la distruzione, da parte delle intemperie, del Covo di Nord-Est e del pino marittimo di Santa Margherita Ligure. Quale miglior modo di commentare la cosa che con un meme?;
img;photos/JustDance.jpg;Just Dance;7 novembre 2018;Perché non possiamo immaginare di ballare i tipici pezzi musicali zeneizi nei videogiochi? Il modello del marinaio è praticamente già pronto, qui dovetti modificare veramente poco.;
img;photos/NFSMW.jpg;Need For Speed: Sampedaenn-a;25 dicembre 2018;La memazione non si ferma mai, nemmeno a Natale, anzi soprattutto a Natale. Prima o poi questa mod di Need For Speed la faccio davvero, comunque.;
img;photos/Dinae.jpg;Dinae;11 settembre 2019;STONKS! E quale template poteva adattarsi di più ai genovesi? Citando poi la didascalia originale del post, che si rifaceva alla situazione della Samp all'epoca: 'Quando non vendi la Samp, vendi quelli buoni, e non compri rinforzi'. Iniziava a prepararsi la burrasca degli anni successivi...;
video;videos/QuellaRaglia.mp4;QuellaRaglia;22 ottobre 2019;Chi avrebbe mai pensato che il cognome Quagliarella, anagrammato, potesse diventare 'Quella Raglia'? Eppure era sotto gli occhi di tutti.;
img;photos/WinXP.jpg;Marassi XP;29 dicembre 2019;Avete presente il palazzo di Marassi che si vede benissimo da piazzale Parenzo? Non ditemi che non sembra il collasso delle finestre del caro vecchio Windows XP durante un crash di sistema.;
img;photos/GTA_SA.jpg;Missione Pompieri;9 gennaio 2020;Si può dire che il 2020 iniziò davvero col botto: quello di un autobus a Caricamento. Lo volli reimmaginare come una missione da pompiere in GTA San Andreas, con tanto di mappa accurata in basso a sinistra. E non sapevamo ancora cosa ci aspettava durante il resto dell'anno...;
img;photos/BoccaDiRosa.jpg;BoccaDiRosa;12 maggio 2020;Forse ho preso il testo della canzone un po' troppo alla lettera...;
img;photos/DogeZena1.jpg;Doge_Zeneize_1;2 luglio 2020;Si rifà alla wave di 'NOOOO I don't wanna be bread'. Ammetto che la salsa di noci non è il mio forte, quindi posso capire il Doge del pannello di sopra.;
img;photos/DogeZena2.jpg;Doge_Zeneize_2;2 luglio 2020;Anche questo si rifà alla wave di 'NOOOO I don't wanna be bread'. Ammetto che neanche la torta pasqualina non è il mio forte, quindi posso capire il Doge del pannello di sopra... lo so, ho gusti culinari poco genovesi.;
img;photos/LGBT.jpg;LGBTanini;9 marzo 2021;Repost obbligatorio durante il Pride Month. Beh qui non c'è molto da capire... ma ci tengo a precisare che non ho mai abitato in via Tanini, mi serviva solo qualcosa con cui fare un acronimo pertinente.;
video;videos/Evangelion.mp4;Pesto con le noci - Evangelion;4 maggio 2021;Per il filone 'Pesto con le noci', una reinterpretazione della sigla di Evangelion, apprezzata peraltro dall'admin de 'Il Mugugno Genovese', che addirittura la repostò in pagina tra mille complimenti, nonostante lo avessi (bonariamente, sia chiaro) mandato a quel paese alla fine del video.;
img;photos/Airplanes.png;Airplanes;13 agosto 2021;Ispirato alla wave di 'Mordetwi Airplanes', illustra il Grifone genoano e il Baciccia sampdoriano in un inedito featuring di 'Airplanes' di B.O.B. e Hayley Williams.;
video;videos/top5Liguria.mp4;Liguria Top 5;6 maggio 2022;Messaggio alla Regione Liguria: se avete bisogno di una mano per un video promozionale, io ci sono!!!;
img;photos/Arenzano.jpg;Arenzano;2 giugno 2022;Shitposting regionale ligure che necessita di un po' di sospensione dell'incredulità. Non c'è niente da capire, solo ammirare la bellezza di Arenzano dei Maneskin e la chiarezza del suo discorso.;
